,country,equipment_type,equipment_subtype,status,source,date
0,RUS,"Trucks, Vehicles and Jeeps",GAZ-66,destroyed,https://i.postimg.cc/dQbNmhLb/43111.png,14-04-2022
1,RUS,"Trucks, Vehicles and Jeeps",GAZ-66,destroyed,https://i.postimg.cc/289BmqmS/4f11.png,14-04-2022
2,RUS,"Trucks, Vehicles and Jeeps",GAZ-66,destroyed,https://i.postimg.cc/Y25xk2P9/4f111.png,14-04-2022
3,RUS,"Trucks, Vehicles and Jeeps",GAZ-66,destroyed,https://i.postimg.cc/TwV56zF6/577.jpg,14-04-2022
4,RUS,"Trucks, Vehicles and Jeeps",GAZ-66,captured,https://i.postimg.cc/ncy3jWxy/55488.png,14-04-2022
5,RUS,"Trucks, Vehicles and Jeeps",GAZ-66,captured,https://i.postimg.cc/KjG2nQzc/4f220.png,14-04-2022
6,RUS,"Trucks, Vehicles and Jeeps",GAZ-66,captured,https://i.postimg.cc/9XPRbTw9/f43.png,14-04-2022
7,RUS,"Trucks, Vehicles and Jeeps",GAZ-66,captured,https://i.postimg.cc/R0C7W7V9/4317.png,14-04-2022
8,RUS,"Trucks, Vehicles and Jeeps",GAZ-66,abandoned,https://i.postimg.cc/8zKhCCjn/317.png,14-04-2022
9,RUS,"Trucks, Vehicles and Jeeps",GAZ-66,captured and destroyed,https://i.postimg.cc/VLV92mk5/433.png,14-04-2022
10,RUS,"Trucks, Vehicles and Jeeps",KrAZ-255B,destroyed,https://i.postimg.cc/rmWZRsXB/43fg.png,14-04-2022
11,RUS,"Trucks, Vehicles and Jeeps",KrAZ-255B,captured,https://i.postimg.cc/B6LVH2xJ/668.png,14-04-2022
12,RUS,"Trucks, Vehicles and Jeeps",KrAZ-255B,captured,https://i.postimg.cc/htt7zgVf/688.png,14-04-2022
13,RUS,"Trucks, Vehicles and Jeeps",KrAZ-255B tanker,destroyed,https://i.postimg.cc/j2CpfJXK/7990.png,14-04-2022
14,RUS,"Trucks, Vehicles and Jeeps",ZiL-131,destroyed,https://i.postimg.cc/gc8PP5ZG/d3.png,14-04-2022
15,RUS,"Trucks, Vehicles and Jeeps",ZiL-131,destroyed,https://i.postimg.cc/bv1b41zZ/f50.png,14-04-2022
16,RUS,"Trucks, Vehicles and Jeeps",ZiL-131,destroyed,https://i.postimg.cc/s2JMN6H5/5g7.jpg,14-04-2022
17,RUS,"Trucks, Vehicles and Jeeps",ZiL-131,destroyed,https://i.postimg.cc/MpS3PczF/65.jpg,14-04-2022
18,RUS,"Trucks, Vehicles and Jeeps",ZiL-131,damaged and captured,https://i.postimg.cc/cCWTD2S8/54.jpg,14-04-2022
19,RUS,"Trucks, Vehicles and Jeeps",ZiL-131,abandoned,https://i.postimg.cc/1ttjTBH0/4455.png,14-04-2022
20,RUS,"Trucks, Vehicles and Jeeps",ZiL-131,abandoned,https://i.postimg.cc/8k2Hgm1B/Screenshot-8397.png,14-04-2022
21,RUS,"Trucks, Vehicles and Jeeps",9T452 transporter-loader (for BM-27 'Uragan' MRL),destroyed,https://i.postimg.cc/QNzHJ4Yk/n2.png,14-04-2022
22,RUS,"Trucks, Vehicles and Jeeps",9T452 transporter-loader (for BM-27 'Uragan' MRL),destroyed,https://i.postimg.cc/FF2mCP6j/799.png,14-04-2022
23,RUS,"Trucks, Vehicles and Jeeps",9T452 transporter-loader (for BM-27 'Uragan' MRL),destroyed,https://i.postimg.cc/Qdy34PjC/d34.jpg,14-04-2022
24,RUS,"Trucks, Vehicles and Jeeps",9T452 transporter-loader (for BM-27 'Uragan' MRL),destroyed,https://i.postimg.cc/PxqrrXw4/t4.jpg,14-04-2022
25,RUS,"Trucks, Vehicles and Jeeps",9T452 transporter-loader (for BM-27 'Uragan' MRL),destroyed,https://i.postimg.cc/L6g5180Q/t5.jpg,14-04-2022
26,RUS,"Trucks, Vehicles and Jeeps",9T452 transporter-loader (for BM-27 'Uragan' MRL),destroyed,https://i.postimg.cc/sX4BXjKH/t6.jpg,14-04-2022
27,RUS,"Trucks, Vehicles and Jeeps",9T452 transporter-loader (for BM-27 'Uragan' MRL),captured,https://i.postimg.cc/YCyjYGwT/dd3.jpg,14-04-2022
28,RUS,"Trucks, Vehicles and Jeeps",9T452 transporter-loader (for BM-27 'Uragan' MRL),captured,https://i.postimg.cc/KvPYBTtf/76.jpg,14-04-2022
29,RUS,"Trucks, Vehicles and Jeeps",9T452 transporter-loader (for BM-27 'Uragan' MRL),captured,https://i.postimg.cc/CMrjXScX/78.png,14-04-2022
30,RUS,"Trucks, Vehicles and Jeeps",9T217 transloader (for 9K33 Osa),destroyed,https://i.postimg.cc/bJq11m9D/4320.png,14-04-2022
31,RUS,"Trucks, Vehicles and Jeeps",9T217 transloader (for 9K33 Osa),captured,https://i.postimg.cc/J7XmSTvF/542g.png,14-04-2022
32,RUS,"Trucks, Vehicles and Jeeps",9T244 transloader (for 9A330/1 Tor),destroyed,https://i.postimg.cc/MGLdJQfV/d33.jpg,14-04-2022
33,RUS,"Trucks, Vehicles and Jeeps",9T244 transloader (for 9A330/1 Tor),damaged and captured,https://i.postimg.cc/x1t6g70s/d34.jpg,14-04-2022
34,RUS,"Trucks, Vehicles and Jeeps",GAZ-3308,abandoned,https://postimg.cc/cg7mbbzG,14-04-2022
35,RUS,"Trucks, Vehicles and Jeeps",GAZ-3308,abandoned,https://postimg.cc/62xczXYh,14-04-2022
36,RUS,"Trucks, Vehicles and Jeeps",GAZ-3308,abandoned,https://i.postimg.cc/wjz9hn1C/361.png,14-04-2022
37,RUS,"Trucks, Vehicles and Jeeps",GAZ Sobol,destroyed,https://i.postimg.cc/gkPg5HgC/Screenshot-8289.png,14-04-2022
38,RUS,"Trucks, Vehicles and Jeeps",GAZ Sobol,abandoned,https://postimg.cc/87FbS5YH,14-04-2022
39,RUS,"Trucks, Vehicles and Jeeps",Ural-375D,destroyed,https://i.postimg.cc/gj8g0qT9/dg.png,14-04-2022
40,RUS,"Trucks, Vehicles and Jeeps",Ural-375D,destroyed,https://i.postimg.cc/pTSh61mZ/ural.png,14-04-2022
41,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,destroyed,https://postimg.cc/5jvTwsWN,14-04-2022
42,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,destroyed,https://postimg.cc/vxWKbZt6,14-04-2022
43,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,destroyed,https://postimg.cc/HVgK3bT0,14-04-2022
44,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,destroyed,https://postimg.cc/f3bh0QRp,14-04-2022
45,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,destroyed,https://postimg.cc/YvjdC8vQ,14-04-2022
46,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,destroyed,https://i.postimg.cc/hPY0MfcX/5579.png,14-04-2022
47,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,destroyed,https://i.postimg.cc/XNdxpWCR/b788.png,14-04-2022
48,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,destroyed,https://i.postimg.cc/T38nZMBJ/5783.png,14-04-2022
49,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,destroyed,https://i.postimg.cc/JnCgn2yN/794.png,14-04-2022
50,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,destroyed,https://postimg.cc/kDPjqNFh,14-04-2022
51,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,destroyed,https://i.postimg.cc/wBfFwpNT/6680.png,14-04-2022
52,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,destroyed,https://i.postimg.cc/d1y6JQnH/b65.png,14-04-2022
53,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,destroyed,https://i.postimg.cc/d1y6JQnH/b65.png,14-04-2022
54,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,destroyed,https://i.postimg.cc/j5sDNGpb/d33.png,14-04-2022
55,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,destroyed,https://i.postimg.cc/3w8MF5T8/f43.png,14-04-2022
56,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,destroyed,https://i.postimg.cc/rw7JS1Gj/h8.jpg,14-04-2022
57,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,destroyed,https://i.postimg.cc/QMknpc1R/uk.jpg,14-04-2022
58,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,destroyed,https://i.postimg.cc/LX7pNThh/5h8.png,14-04-2022
59,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,destroyed,https://i.postimg.cc/26swMW6w/ug1.png,14-04-2022
60,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,destroyed,https://i.postimg.cc/26swMW6w/ug1.png,14-04-2022
61,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,destroyed,https://i.postimg.cc/sgX9wz9K/44fj.jpg,14-04-2022
62,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,destroyed,https://i.postimg.cc/L6z7w58H/331.png,14-04-2022
63,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,destroyed,https://i.postimg.cc/7hcLKtkP/r35.png,14-04-2022
64,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,destroyed,https://i.postimg.cc/pV3Rk7Nn/Screenshot-8931.png,14-04-2022
65,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,destroyed,https://i.postimg.cc/pLJvWLmD/Screenshot-8932.png,14-04-2022
66,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,destroyed,https://i.postimg.cc/JzLmCkzr/Screenshot-8933.png,14-04-2022
67,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,destroyed,https://i.postimg.cc/hvVRMBmD/f35.png,14-04-2022
68,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,destroyed,https://i.postimg.cc/7Zv4rPZS/15.png,14-04-2022
69,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,destroyed,https://i.postimg.cc/JzT9411T/31.png,14-04-2022
70,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,destroyed,https://i.postimg.cc/MGSjH8dQ/4313.png,14-04-2022
71,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,destroyed,https://i.postimg.cc/jjMdTV9K/5y.png,14-04-2022
72,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,destroyed,https://i.postimg.cc/jjMdTV9K/5y.png,14-04-2022
73,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,destroyed,https://i.postimg.cc/2S8SK8cT/356.png,14-04-2022
