,country,equipment_type,equipment_subtype,status,source,date
0,RUS,"Trucks, Vehicles and Jeeps",GAZ-66,captured,https://i.postimg.cc/ncy3jWxy/55488.png,26-02-2022
1,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,destroyed,https://postimg.cc/5jvTwsWN,26-02-2022
2,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,destroyed,https://postimg.cc/vxWKbZt6,26-02-2022
3,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,destroyed,https://postimg.cc/HVgK3bT0,26-02-2022
4,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,destroyed,https://postimg.cc/f3bh0QRp,26-02-2022
5,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://i.postimg.cc/hvCrKWm6/682.png,26-02-2022
6,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://i.postimg.cc/Z5GKzh1D/r1.png,26-02-2022
7,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://i.postimg.cc/pXL1Kn3v/5583.png,26-02-2022
8,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://i.postimg.cc/dQSXZBB2/74.png,26-02-2022
9,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,damaged,https://postimg.cc/kVDPCNz0,26-02-2022
10,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,damaged and abandoned,https://postimg.cc/w12pvjgD,26-02-2022
11,RUS,"Trucks, Vehicles and Jeeps",KamAZ 6x6,destroyed,https://i.postimg.cc/K8dLcdtV/h0.png,26-02-2022
12,RUS,"Trucks, Vehicles and Jeeps",KamAZ 6x6,destroyed,https://i.postimg.cc/G2Ndj56v/Screenshot-8192.png,26-02-2022
13,RUS,"Trucks, Vehicles and Jeeps",KamAZ 6x6,destroyed,https://i.postimg.cc/mhW4vFLD/Screenshot-8193.png,26-02-2022
14,RUS,"Trucks, Vehicles and Jeeps",KamAZ 6x6,destroyed,https://i.postimg.cc/MpmpyDDG/Screenshot-8209.png,26-02-2022
15,RUS,"Trucks, Vehicles and Jeeps",KamAZ 6x6,destroyed,https://i.postimg.cc/nc8Fg5Sz/Screenshot-8215.png,26-02-2022
16,RUS,"Trucks, Vehicles and Jeeps",KamAZ 6x6,destroyed,https://i.postimg.cc/jj8q1SB0/Screenshot-8210.png,26-02-2022
17,RUS,"Trucks, Vehicles and Jeeps",KamAZ 6x6,destroyed,https://i.postimg.cc/nzgFHwH3/Screenshot-8211.png,26-02-2022
18,RUS,"Trucks, Vehicles and Jeeps",KamAZ 6x6,destroyed,https://postimg.cc/PvG7gwYj,26-02-2022
19,RUS,"Trucks, Vehicles and Jeeps",KamAZ 6x6,destroyed,https://i.postimg.cc/wjDYJj9c/Screenshot-8224.png,26-02-2022
20,RUS,"Trucks, Vehicles and Jeeps",KamAZ 6x6,abandoned,https://i.postimg.cc/9F0M05Tb/Screenshot-8232.png,26-02-2022
21,RUS,"Trucks, Vehicles and Jeeps",KamAZ 6x6,captured,https://i.postimg.cc/Hn7xkb8m/688.png,26-02-2022
22,RUS,"Trucks, Vehicles and Jeeps",KamAZ 6x6,captured,https://i.postimg.cc/YSQ2ps72/r2.png,26-02-2022
