,country,equipment_type,equipment_subtype,status,source,date
0,RUS,"Trucks, Vehicles and Jeeps",GAZ-66,captured,https://i.postimg.cc/ncy3jWxy/55488.png,24-02-2022
1,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://i.postimg.cc/Z5GKzh1D/r1.png,24-02-2022
2,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://i.postimg.cc/pXL1Kn3v/5583.png,24-02-2022
3,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,damaged,https://postimg.cc/kVDPCNz0,24-02-2022
4,RUS,"Trucks, Vehicles and Jeeps",KamAZ,destroyed,https://i.postimg.cc/K8dLcdtV/h0.png,24-02-2022
5,RUS,"Trucks, Vehicles and Jeeps",KamAZ,captured,https://i.postimg.cc/YSQ2ps72/r2.png,24-02-2022
6,RUS,"Trucks, Vehicles and Jeeps",KamAZ,captured,https://i.postimg.cc/VkXF0qmD/6599.png,24-02-2022
7,RUS,"Trucks, Vehicles and Jeeps",KamAZ,captured,https://i.postimg.cc/Bbj44g2S/5580.png,24-02-2022
8,RUS,"Trucks, Vehicles and Jeeps",KamAZ,damaged,https://i.postimg.cc/kGnW3KWg/880.png,24-02-2022
9,RUS,Helicopters,Ka-52 'Alligator',destroyed,https://i.postimg.cc/PJGKCtCv/658.png,24-02-2022
10,RUS,Helicopters,Ka-52 'Alligator',damaged,https://i.postimg.cc/kXX8gFLx/769.png,24-02-2022
11,RUS,Aircraft,Su-25 strike aircraft,destroyed,https://tass.ru/armiya-i-opk/13840645,24-02-2022
12,RUS,Aircraft,An-26 transport aircraft,destroyed,https://i.postimg.cc/R0ppMFNQ/448.png,24-02-2022
13,RUS,Surface-to-air missile systems,Tor-M2,destroyed,https://i.postimg.cc/5tS4wn32/578.png,24-02-2022
14,RUS,Engineering Vehicles,IMR-2 combat engineering vehicle,destroyed,https://i.postimg.cc/xdbysNZ7/5548.png,24-02-2022
15,RUS,Engineering Vehicles,TMM-3 bridge layer,captured,https://i.postimg.cc/FRhY7mzP/75.png,24-02-2022
16,RUS,Engineering Vehicles,KamAZ-5350 with EOV-3523 excavator,captured,https://i.postimg.cc/bvhJB8xz/774.png,24-02-2022
17,RUS,Infantry Mobility Vehicles,GAZ Tigr-M,destroyed,https://i.postimg.cc/W1VpzFcv/5578.png,24-02-2022
18,RUS,Infantry Mobility Vehicles,GAZ Tigr-M,damaged,https://i.postimg.cc/ZKDrDbck/85.png,24-02-2022
19,RUS,Mine-resistant ambush protected,KamAZ-63968 Typhoon,captured,https://i.postimg.cc/D0LLthjn/663.png,24-02-2022
20,RUS,Infantry Fighting Vehicles,BMP-2,captured,https://i.postimg.cc/T1HJcX0f/776.png,24-02-2022
21,RUS,Armoured Fighting Vehicles,MT-LB,destroyed,https://i.postimg.cc/0QPGdgX4/6658.png,24-02-2022
22,RUS,Armoured Fighting Vehicles,MT-LB,captured,https://i.postimg.cc/P5M1XV5z/58.png,24-02-2022
23,RUS,Armoured Fighting Vehicles,MT-LB,captured,https://i.postimg.cc/hjqg1p15/680.png,24-02-2022
24,RUS,Armoured Fighting Vehicles,MT-LB with ZU-23 AA gun,destroyed,https://postimg.cc/kVDPCNz0,24-02-2022
25,RUS,Armoured Fighting Vehicles,9P149 Shturm-S ATGM carrier,destroyed,https://i.postimg.cc/DwY6rjLd/659.png,24-02-2022
26,RUS,Tanks,T-80BVM,destroyed,https://i.postimg.cc/2y474krg/336.png,24-02-2022
27,UKR,Tanks,T-64BV,destroyed,https://i.postimg.cc/mgntjg7P/763.png,24-02-2022
28,UKR,Armoured Fighting Vehicles,BRM-1K,captured,https://i.postimg.cc/ZnMyg04W/6669.jpg ,24-02-2022
