,country,equipment_type,equipment_subtype,status,source,date
0,RUS,"Trucks, Vehicles and Jeeps",GAZ-66,captured,https://i.postimg.cc/ncy3jWxy/55488.png,25-02-2022
1,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://i.postimg.cc/Z5GKzh1D/r1.png,25-02-2022
2,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://i.postimg.cc/pXL1Kn3v/5583.png,25-02-2022
3,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,damaged,https://postimg.cc/kVDPCNz0,25-02-2022
4,RUS,"Trucks, Vehicles and Jeeps",KamAZ,captured,https://i.postimg.cc/YSQ2ps72/r2.png,25-02-2022
5,RUS,"Trucks, Vehicles and Jeeps",KamAZ,captured,https://i.postimg.cc/gJ6f7NZ3/57.png,25-02-2022
6,RUS,"Trucks, Vehicles and Jeeps",KamAZ,captured,https://i.postimg.cc/VkXF0qmD/6599.png,25-02-2022
7,RUS,"Trucks, Vehicles and Jeeps",KamAZ,captured,https://i.postimg.cc/Bbj44g2S/5580.png,25-02-2022
8,RUS,"Trucks, Vehicles and Jeeps",KamAZ,captured,https://i.postimg.cc/23RZybKP/6800.png,25-02-2022
9,RUS,"Trucks, Vehicles and Jeeps",KamAZ,destroyed,https://i.postimg.cc/K8dLcdtV/h0.png,25-02-2022
10,RUS,"Trucks, Vehicles and Jeeps",KamAZ,destroyed,https://i.postimg.cc/G2Ndj56v/Screenshot-8192.png,25-02-2022
11,RUS,"Trucks, Vehicles and Jeeps",KamAZ,destroyed,https://i.postimg.cc/mhW4vFLD/Screenshot-8193.png,25-02-2022
12,RUS,"Trucks, Vehicles and Jeeps",KamAZ,damaged,https://i.postimg.cc/kGnW3KWg/880.png,25-02-2022
13,RUS,"Trucks, Vehicles and Jeeps",KamAZ-6350 8x8,destroyed,https://i.postimg.cc/VvPSc7kX/Screenshot-8070.png,25-02-2022
14,RUS,"Trucks, Vehicles and Jeeps",KamAZ-6350 8x8,destroyed,https://i.postimg.cc/br0ZYQZW/Screenshot-8071.png,25-02-2022
15,RUS,"Trucks, Vehicles and Jeeps",KamAZ-6350 8x8,damaged and captured,https://i.postimg.cc/br6jRJWd/Screenshot-8072.png,25-02-2022
16,RUS,"Trucks, Vehicles and Jeeps",KamAZ-6350 8x8,damaged and captured,https://i.postimg.cc/nczxh49m/Screenshot-8074.png,25-02-2022
17,RUS,"Trucks, Vehicles and Jeeps",Unknown truck,destroyed,https://i.postimg.cc/cLy31D99/557.png,25-02-2022
18,RUS,"Trucks, Vehicles and Jeeps",Unknown truck,destroyed,https://i.postimg.cc/L5WpLtHC/370.png,25-02-2022
19,RUS,Helicopters,Ka-52 'Alligator',destroyed,https://i.postimg.cc/PJGKCtCv/658.png,25-02-2022
20,RUS,Helicopters,Ka-52 'Alligator',damaged,https://i.postimg.cc/kXX8gFLx/769.png,25-02-2022
21,RUS,Aircraft,Su-30SM,destroyed on the ground,https://i.postimg.cc/QNPryLw9/7699.png,25-02-2022
22,RUS,Aircraft,Su-25 strike aircraft,destroyed,https://tass.ru/armiya-i-opk/13840645,25-02-2022
23,RUS,Aircraft,An-26 transport aircraft,destroyed,https://i.postimg.cc/R0ppMFNQ/448.png,25-02-2022
24,RUS,Surface-To-Air Missile Systems,Tor-M2,destroyed,https://i.postimg.cc/5tS4wn32/578.png,25-02-2022
25,RUS,Surface-To-Air Missile Systems,2K22M1 Tunguska,damaged and abandoned,https://i.postimg.cc/9MqLyHJZ/764.png,25-02-2022
26,RUS,Multiple Rocket Launchers,122mm BM-21 'Grad',captured,https://i.postimg.cc/xCF0twG5/b6.png,25-02-2022
27,RUS,Multiple Rocket Launchers,122mm BM-21 'Grad',destroyed,https://i.postimg.cc/8c0jfFn1/b6.png,25-02-2022
28,RUS,Multiple Rocket Launchers,122mm BM-21 'Grad',destroyed,https://i.postimg.cc/B65zvHbK/b6.png,25-02-2022
29,RUS,Multiple Rocket Launchers,122mm BM-21 'Grad',destroyed,https://i.postimg.cc/B65zvHbK/b6.png,25-02-2022
30,RUS,Artillery,152mm 2A65 Msta-B howitzer,captured,https://postimg.cc/q6CYJkkd,25-02-2022
31,RUS,Artillery,152mm 2A65 Msta-B howitzer,destroyed,https://i.postimg.cc/prGV0k4f/Screenshot-8069.png,25-02-2022
32,RUS,Artillery,152mm 2A65 Msta-B howitzer,destroyed,https://i.postimg.cc/05cN22jz/Screenshot-8075.png,25-02-2022
33,RUS,Artillery,152mm 2A65 Msta-B howitzer,damaged and captured,https://i.postimg.cc/yYx8J43v/Screenshot-8073.png,25-02-2022
34,RUS,Mortars,120mm mortar,captured,https://i.postimg.cc/SKhJwYXP/4703.png,25-02-2022
35,RUS,Engineering Vehicles,IMR-2 combat engineering vehicle,destroyed,https://i.postimg.cc/xdbysNZ7/5548.png,25-02-2022
36,RUS,Engineering Vehicles,TMM-3 bridge layer,captured,https://i.postimg.cc/FRhY7mzP/75.png,25-02-2022
37,RUS,Engineering Vehicles,KamAZ-5350 with EOV-3523 excavator,captured,https://i.postimg.cc/bvhJB8xz/774.png,25-02-2022
38,RUS,Infantry Mobility Vehicles,GAZ Tigr-M,captured,https://i.postimg.cc/JzBRKYtc/5j.png,25-02-2022
39,RUS,Infantry Mobility Vehicles,GAZ Tigr-M,captured,https://i.postimg.cc/dVQxVhc7/58p.png,25-02-2022
40,RUS,Infantry Mobility Vehicles,GAZ Tigr-M,destroyed,https://i.postimg.cc/W1VpzFcv/5578.png,25-02-2022
41,RUS,Infantry Mobility Vehicles,GAZ Tigr-M,damaged,https://i.postimg.cc/ZKDrDbck/85.png,25-02-2022
42,RUS,Infantry Mobility Vehicles,Iveco LMV 'Rys',captured,https://i.postimg.cc/C5gfTFhF/680o.png,25-02-2022
43,RUS,Mine-resistant Ambush Protected,KamAZ-63968 Typhoon,captured,https://i.postimg.cc/D0LLthjn/663.png,25-02-2022
44,RUS,Infantry Fighting Vehicles,BMP-2,captured,https://i.postimg.cc/T1HJcX0f/776.png,25-02-2022
45,RUS,Infantry Fighting Vehicles,BMP-2,destroyed,https://i.postimg.cc/RCtc2sB0/554.png,25-02-2022
46,RUS,Infantry Fighting Vehicles,BMP-2,damaged and abandoned,https://i.postimg.cc/vBy9TRg0/77699.png,25-02-2022
47,RUS,Infantry Fighting Vehicles,BMD-2,destroyed,https://i.postimg.cc/J4crJP7d/46.png,25-02-2022
48,RUS,Armoured Fighting Vehicles,MT-LB,captured,https://i.postimg.cc/P5M1XV5z/58.png,25-02-2022
49,RUS,Armoured Fighting Vehicles,MT-LB,captured,https://i.postimg.cc/hjqg1p15/680.png,25-02-2022
50,RUS,Armoured Fighting Vehicles,MT-LB,destroyed,https://i.postimg.cc/0QPGdgX4/6658.png,25-02-2022
51,RUS,Armoured Fighting Vehicles,MT-LB with ZU-23 AA gun,destroyed,https://postimg.cc/kVDPCNz0,25-02-2022
52,RUS,Armoured Fighting Vehicles,MT-LBu,captured,https://i.postimg.cc/pV5ZRVDR/5548.png,25-02-2022
53,RUS,Armoured Fighting Vehicles,9P149 Shturm-S ATGM carrier,destroyed,https://i.postimg.cc/FKPZs7Ws/874.png,25-02-2022
54,RUS,Armoured Fighting Vehicles,R-149MA1 unified command and staff vehicle,captured,https://i.postimg.cc/hG5hhQJp/59.png,25-02-2022
55,RUS,Tanks,T-80BV,captured,https://i.postimg.cc/63bVWQwX/470.png,25-02-2022
56,RUS,Tanks,T-80BVM,destroyed,https://i.postimg.cc/2y474krg/336.png,25-02-2022
57,UKR,Tanks,T-64BV,destroyed,https://i.postimg.cc/mgntjg7P/763.png,25-02-2022
58,UKR,Tanks,T-64BV,destroyed,https://i.postimg.cc/59wN4Ybq/689.png,25-02-2022
59,UKR,Tanks,T-64BV,damaged,https://i.postimg.cc/CLn96SZZ/f7.png,25-02-2022
60,UKR,Tanks,T-64BV,abandoned,https://i.postimg.cc/rFzZ43Zg/578.png,25-02-2022
61,UKR,Armoured Fighting Vehicles,BRM-1K,captured,https://i.postimg.cc/ZnMyg04W/6669.jpg,25-02-2022
62,UKR,Armoured Fighting Vehicles,MT-LBu,damaged and abandoned,https://i.postimg.cc/ZYHxJ6rp/Screenshot-8036.png,25-02-2022
